ID,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
127,Montserrat,36,33,50,90,66,61,43,27,30,27,0,38,14
128,Morocco,"3,137","4,128","4,411","4,949","4,513","4,425","5,447","5,013","4,399","3,656","3,336","3,605","3,710"
129,Mozambique,36,59,54,78,81,69,66,53,60,94,73,71,107
130,Namibia,40,40,63,56,57,46,53,60,43,59,57,44,86
131,Nepal,"2,095","2,878","3,158","3,733","3,472","4,093","4,514","7,115","10,166","11,312","13,046","12,357","12,926"
132,Netherlands,981,"1,303","1,815","1,651","1,368","1,240","1,499","1,321","1,085","1,091","1,142","1,195","1,309"
133,Netherlands Antilles,59,72,116,100,93,78,97,77,86,106,128,45,22
134,New Caledonia,NULL,NULL,5,7,5,5,13,6,5,3,6,6,9
135,New Zealand,877,"1,131","1,293","1,100","1,047",893,947,919,803,814,921,796,855
136,Nicaragua,"4,094","4,009","3,305","4,145","3,716","3,614","4,137","3,565","3,401","3,046","3,048","2,886","3,324"
137,Niger,808,62,126,116,97,107,183,96,96,48,37,71,55
138,Nigeria,"7,872","9,374","10,597","13,459","12,448","12,475","15,253","13,376","11,824","13,575","13,840","12,828","11,542"
139,Norway,320,405,423,481,343,350,407,334,339,276,335,271,310
140,Oman,76,122,101,155,103,70,74,63,60,74,73,90,85
141,Pakistan,"9,415","12,086","14,926","17,418","13,492","19,719","21,555","18,258","15,546","14,740","13,251","18,612","18,057"
142,Palau,8,6,8,8,11,6,16,18,7,10,16,12,15
143,Panama,"1,164","1,417","1,815","2,418","1,916","1,678","1,806","1,536","1,374","1,281","1,234","1,095","1,052"
144,Papua New Guinea,34,19,44,30,31,15,19,30,20,21,27,18,11
145,Paraguay,207,328,516,719,545,481,530,467,500,467,448,391,382
146,Peru,"9,409","11,794","15,676","21,718","17,699","15,184","16,957","14,247","14,064","12,609","12,564","10,606","10,148"
147,Philippines,"45,250","57,846","60,746","74,606","72,596","54,030","60,029","58,173","57,011","57,327","54,446","49,996","56,478"
148,Poland,"10,510","14,326","15,351","17,051","10,355","8,354","8,754","7,643","6,863","6,300","6,430","5,689","5,275"
149,Portugal,808,"1,069","1,125","1,409","1,019",772,946,755,821,811,918,892,857
150,Qatar,72,125,174,226,138,151,134,148,193,141,191,202,229
151,Romania,"3,655","4,571","7,103","7,137","5,802","4,930","4,910","4,003","3,882","3,748","3,773","3,246","3,376"
152,Russia,"13,935","17,410","18,055","13,159","9,426","11,695","8,238","6,718","7,944","9,969","9,753","9,079","8,799"
153,Rwanda,109,163,276,502,357,378,952,489,520,592,540,555,732
154,Saint Kitts-Nevis,310,299,342,458,347,363,310,339,350,311,259,263,222
155,Saint Lucia,488,616,832,"1,212",928,946,"1,027",872,785,919,853,844,739
156,Saint Vincent and the Grenadines,322,400,625,756,567,568,591,576,468,503,529,448,415
157,Samoa,178,203,173,283,290,227,250,219,267,238,237,239,207
158,Sao Tome and Principe,NULL,9,8,6,7,7,11,10,9,12,6,5,6
159,Saudi Arabia,735,906,"1,210","1,542","1,171","1,194","1,418","1,263","1,396","1,343","1,463","1,696","1,744"
160,Senegal,522,769,913,"1,367","1,024","1,149","1,524","1,285","1,424","1,615","1,340","1,273","1,244"
161,Serbia,NULL,NULL,NULL,NULL,0,0,0,20,244,704,866,"1,143","1,278"
162,Serbia and Montenegro 2,"2,994","3,331","5,202","5,891","3,586","3,255","3,166","2,196","1,398",801,653,267,232
163,Seychelles,16,25,16,15,7,16,10,8,15,7,6,7,11
164,Sierra Leone,"1,492","1,596","2,731","3,572","1,999","2,795","2,687","2,011","1,985","1,688","1,651","1,740","1,599"
165,Singapore,582,966,"1,204",997,985,922,832,774,690,712,835,779,781
166,Slovakia,674,800,965,"1,111",763,653,706,538,594,528,0,45,45
167,Slovenia,64,88,114,115,87,79,108,74,69,86,507,460,424
168,Solomon Islands,5,6,3,5,10,7,NULL,6,NULL,NULL,62,78,107
169,Somalia,"2,444","3,929","5,829","9,462","6,251","10,745","13,390","4,558","4,451","5,204",3,5,NULL
170,South Africa,"2,210","3,370","4,536","3,201","2,988","2,723","3,171","2,758","2,649","2,781","3,764","5,190","6,796"
171,South Sudan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,17,"2,629","2,676","2,907"
172,Soviet Union (former),"1,072",929,"2,899","6,229","5,090","5,270","5,911","4,978","3,687","1,296",59,74,127
173,Spain,917,"1,339","1,888","1,971","1,578","1,621","1,769","1,684","1,890","1,842","1,264","1,136","1,022"
